ID,Confiance,Centre_X,Centre_Y,Largeur,Hauteur,X1,Y1,X2,Y2
1,0.801,407,470,36,88,389,426,425,514
2,0.76,207,526,76,85,169,484,245,569
3,0.747,288,520,57,96,260,472,317,568
4,0.734,332,323,48,56,308,295,356,351
5,0.694,320,376,47,65,297,344,344,409
6,0.678,424,323,30,62,409,292,439,354
7,0.608,234,218,32,41,218,198,250,239
8,0.581,184,308,40,46,164,285,204,331
9,0.548,14,263,29,54,0,236,29,290
10,0.523,282,316,39,37,263,298,302,335
11,0.52,156,223,29,46,142,200,171,246
12,0.518,87,259,28,52,73,233,101,285
13,0.45,80,187,34,39,63,168,97,207
14,0.447,309,207,42,38,288,188,330,226
15,0.43,132,260,30,41,117,240,147,281
16,0.414,310,440,46,77,287,402,333,479
17,0.413,51,217,38,44,32,195,70,239
18,0.383,114,226,26,44,101,204,127,248
19,0.354,198,175,28,34,184,158,212,192
20,0.353,17,172,34,40,0,152,34,192
21,0.322,360,210,38,40,341,190,379,230
22,0.306,300,243,37,39,282,224,319,263
23,0.264,140,195,27,41,127,175,154,216
24,0.254,274,125,27,36,261,107,288,143
